Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Sedih,Pop,Ed Sheeran,Photograph,2014,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
Sedih,Sad,Cakra khan,Kepada hati,2022,https://open.spotify.com/track/69zr3m2IPoMDxlMjxxcNVu
Sedih,Pop,Mahalini,Bohongi hati,2023,https://open.spotify.com/track/6gARWk9hXgTUImaKUsTu6w
Sedih,Pop,Joji,Die for you ,2022,https://open.spotify.com/track/26hOm7dTtBi0TdpDGl141t
Sedih,Pop,wali,yank,2009,https://open.spotify.com/track/0C3xZJueyBvvMSsl0cETA6
Sedih,Pop,geisha,lumpuhkan ingatanku,2012,https://open.spotify.com/track/72lcnQHpDAp7Hhs6QVuz4X
Sedih,Indie,kunto aji,terlalu lama sendiri,2915,https://open.spotify.com/track/2BYjHJxyEgy5Bu8wFgeSAg
Sedih,Pop,Adele,Love in the dark ,2915,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
Sedih,Pop,SadBoyProlific,Dead And Cold,2018,https://open.spotify.com/track/33LizV83s7z1gwtmLiKlmv
Sedih,Pop,Tulus,Diri,2022,https://open.spotify.com/track/2qgjqbi96IAOBzZFC6H57U
Sedih,Pop,Nadin Amizah,Rumpang,2018,https://open.spotify.com/track/2TRGNVokPnC2a2oHg5iv1H
Sedih,Pop,Nadin Amizah,"dan, selesai",2021,https://open.spotify.com/track/0QZb9ug5cElTG2vCrdkqa4
Sedih,Pop,Cassandra,Cinta Terbaik,2017,https://open.spotify.com/track/0Afs1hDADIDxx31FyJIEXm
Sedih,Jazz,Billie Holiday,All of Me,1933,https://open.spotify.com/track/1LGqJ3nvxpVXDWpEzq4DJD
