Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Bersemangat,Reggae,Souljah,Tak Selalu,2014,https://open.spotify.com/track/796ASjsQqxD4QOe9b5lm39
Bersemangat,Pop Punk,Green Day,Basket Case,1994,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s
Bersemangat,Pop,JKT48,Fortune cookie yang mencinta,2016,https://open.spotify.com/track/1W3ufHAL2XuSKqjkBRewrh
Bersemangat,Rock,Bon jovi ,Itâ€™s my life ,2000,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l
Bersemangat,Pop Punk,Neck Deep ,She's a god,2019,https://open.spotify.com/track/3rmVrevtGa5y7wieirt7rZ
Bersemangat,Pop,The 1975,It's Not Living (If It's Not With You),2018,https://open.spotify.com/track/3TgMcrV32NUKjEG2ujn9eh
Bersemangat,Rock,Bon Jovi ,Thank you for loving me,2000,https://open.spotify.com/track/577MNC3o3L0lNIzx9abqOk
Bersemangat,Classical,westlife,my love,2000,https://open.spotify.com/track/5p0ietGkLNEqx1Z7ijkw5g
Bersemangat,Metal,scorpions,send me an angel,1990,https://open.spotify.com/track/1bKQ48M9onID2kbSpRy8kK
Bersemangat,Pop Punk,Pee Wee Gaskins,Serotonin,2016,https://open.spotify.com/track/44wWwFCjFT6U6dZHbbdPXF
Bersemangat,Pop,Ryuu,Memori,2023,https://open.spotify.com/track/7xm9BcAlfsFiHKPcXSVhdr
Bersemangat,Rock,Evanescence ,Bring me to life ,2003,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
Bersemangat,Pop Punk,Threesixty,Sampai Nanti,2013,https://open.spotify.com/track/6mMLJpfRxyl76pgAVJyhuP
Bersemangat,Pop,NIKI,La La Lost You,2019,https://open.spotify.com/track/5WkCcSa78lM1Ym4LXzJUiN
Bersemangat,Rock,Gun n roses,Paradise city ,1987,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5
Bersemangat,Metal,metallica,enter sand man,1991,https://open.spotify.com/track/3gsYjIoGPMyWl7sdR3owxT
Bersemangat,Pop,"Rema, Selena Gomez",Calm down,2022,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
